generation,epoch,gen_loss
0,0,59.77514457702637
0,5,59.80121612548828
0,10,59.73895835876465
0,15,59.821550369262695
0,20,59.8774299621582
0,25,59.83220863342285
0,30,59.77743911743164
0,35,59.73794937133789
0,40,59.81158256530762
0,45,59.736812591552734
0,50,59.74214172363281
0,55,59.776071548461914
0,60,59.7220344543457
0,65,59.80838584899902
0,70,59.86497116088867
0,75,59.82168006896973
0,80,59.76815986633301
0,85,59.72883415222168
0,90,59.802656173706055
0,95,59.72808074951172
1,0,0.26161177456378937
1,5,0.2592031806707382
1,10,0.2524985671043396
1,15,0.24802763015031815
1,20,0.24607661366462708
1,25,0.2427186444401741
1,30,0.24155426770448685
1,35,0.2405392974615097
1,40,0.24001292139291763
1,45,0.23943961411714554
1,50,0.23949654400348663
1,55,0.2389492318034172
1,60,0.23967429250478745
1,65,0.23862892389297485
1,70,0.23898843675851822
1,75,0.23838000744581223
1,80,0.2384435161948204
1,85,0.2391021028161049
1,90,0.2380690947175026
1,95,0.23809382319450378
2,0,0.23676840960979462
2,5,0.23619048297405243
2,10,0.23568492382764816
2,15,0.23521103709936142
2,20,0.23454292118549347
2,25,0.23424085974693298
2,30,0.23356565088033676
2,35,0.2330789938569069
2,40,0.23263663798570633
2,45,0.23169369995594025
2,50,0.23115196079015732
2,55,0.2307170107960701
2,60,0.23006893694400787
2,65,0.22947175055742264
2,70,0.22893515974283218
2,75,0.22866805642843246
2,80,0.22824763506650925
2,85,0.22781671583652496
2,90,0.2271382212638855
2,95,0.22656606882810593
3,0,0.29382196068763733
3,5,0.2788780778646469
3,10,0.28006166219711304
3,15,0.2704164981842041
3,20,0.26975761353969574
3,25,0.25892291963100433
3,30,0.26859110593795776
3,35,0.26144157350063324
3,40,0.2655000686645508
3,45,0.26494602859020233
3,50,0.268314391374588
3,55,0.26049157977104187
3,60,0.26485292613506317
3,65,0.26529911160469055
3,70,0.2677640914916992
3,75,0.2656663656234741
3,80,0.26471392810344696
3,85,0.26305580139160156
3,90,0.2631688565015793
3,95,0.2619605213403702
4,0,0.2443196102976799
4,5,0.24093663692474365
4,10,0.23843608796596527
4,15,0.23403850197792053
4,20,0.2319180890917778
4,25,0.22584834694862366
4,30,0.22425729036331177
4,35,0.2211473509669304
4,40,0.22240107506513596
4,45,0.22119732201099396
4,50,0.2211601510643959
4,55,0.22134892642498016
4,60,0.22336696833372116
4,65,0.2197556272149086
4,70,0.2199256494641304
4,75,0.21968785673379898
4,80,0.21939459443092346
4,85,0.21930325031280518
4,90,0.21988197416067123
4,95,0.2203524485230446
